symbol,date,open,high,low,close,volume
"KSH","2008-11-12","20","20","20","20","1740"
"KSH","2008-11-13","19","19","19","19","10"
"KSH","2008-11-14","18.1","18.1","18.1","18.1","50"
"KSH","2008-11-17","17.2","17.2","17.2","17.2","10"
"KSH","2008-11-18","16.4","16.4","16.4","16.4","8770"
"KSH","2008-11-19","15.6","15.6","15.6","15.6","1000"
"KSH","2008-11-20","14.9","14.9","14.9","14.9","10"
"KSH","2008-11-21","14.2","14.2","14.2","14.2","20"
"KSH","2008-11-24","13.5","13.5","13.5","13.5","50"
"KSH","2008-11-25","12.9","12.9","12.9","12.9","1770"
"KSH","2008-11-26","12.3","13","12.3","12.3","152050"
"KSH","2008-11-27","11.7","12.9","11.7","12.4","54050"
"KSH","2008-11-28","12","13","12","13","24950"
"KSH","2008-12-01","12.6","13.4","12.6","13.3","33710"
"KSH","2008-12-02","12.7","12.7","12.7","12.7","24310"
"KSH","2008-12-03","12.2","12.2","12.1","12.1","3950"
"KSH","2008-12-04","11.5","12.4","11.5","11.5","23580"
"KSH","2008-12-05","11.5","12","11.5","12","34300"
"KSH","2008-12-08","12.6","12.6","12.5","12.6","14730"
"KSH","2008-12-09","12.9","13.2","12.8","13.2","40750"
"KSH","2008-12-10","12.9","12.9","12.9","12.9","3300"
"KSH","2008-12-11","12.3","12.4","12.3","12.3","15100"
"KSH","2008-12-12","12.9","12.9","12.9","12.9","24870"
"KSH","2008-12-15","13.4","13.5","13.4","13.5","22970"
"KSH","2008-12-16","12.9","13","12.9","12.9","6260"
"KSH","2008-12-17","12.6","13","12.3","12.3","26830"
"KSH","2008-12-18","12.9","12.9","12.3","12.9","8420"
"KSH","2008-12-19","13.2","13.5","13","13.5","46440"
"KSH","2008-12-22","13.5","14.1","13.5","14.1","20800"
"KSH","2008-12-23","14.2","14.2","14","14.2","17100"
"KSH","2008-12-24","13.8","14.9","13.8","14.9","7160"
"KSH","2008-12-25","15","15.5","15","15.5","7520"
"KSH","2008-12-26","16.2","16.2","15.5","16","2040"
"KSH","2008-12-29","16.4","16.4","15.5","16.4","3000"
"KSH","2008-12-30","16.4","17","16.4","17","4480"
"KSH","2008-12-31","16.2","17.4","16.2","17.2","16500"
"KSH","2009-01-02","16.5","16.5","16.5","16.5","840"
"KSH","2009-01-05","15.7","15.7","15.7","15.7","50"
"KSH","2009-01-06","15","15","15","15","1700"
"KSH","2009-01-07","14.3","15.5","14.3","14.3","840"
"KSH","2009-01-08","14.3","15","13.6","13.6","4870"
"KSH","2009-01-09","13.7","14.2","13.6","13.7","2040"
"KSH","2009-01-12","13.7","14.3","13.1","14.2","11120"
"KSH","2009-01-13","14.9","14.9","13.7","14.9","3120"
"KSH","2009-01-14","15.2","15.2","14.2","14.2","1170"
"KSH","2009-01-15","14.5","14.5","13.7","13.7","2130"
"KSH","2009-01-16","13.5","14.1","13.5","14.1","2330"
"KSH","2009-01-19","14","14.6","13.6","14","4130"
"KSH","2009-01-20","14","14.6","14","14","3710"
"KSH","2009-01-21","14","14","14","14","1010"
"KSH","2009-01-22","14.2","14.2","14.2","14.2","550"
"KSH","2009-01-23","14.5","14.5","14.2","14.5","320"
"KSH","2009-02-02","15.2","15.2","14","15.2","7520"
"KSH","2009-02-03","15.2","15.2","15.2","15.2","10"
"KSH","2009-02-04","15.6","15.6","14.5","14.5","20"
"KSH","2009-02-05","14.5","14.5","13.8","13.8","20"
"KSH","2009-02-06","14.1","14.1","14.1","14.1","20"
"KSH","2009-02-09","14.7","14.7","14.2","14.2","50"
"KSH","2009-02-10","13.6","14.2","13.5","13.5","4490"
"KSH","2009-02-11","13.6","13.6","13.2","13.2","110"
"KSH","2009-02-12","13.8","13.8","12.6","12.6","7330"
"KSH","2009-02-13","12.1","12.9","12","12","12830"
"KSH","2009-02-16","12.6","12.6","11.7","12.5","30"
"KSH","2009-02-17","12.2","12.2","11.9","11.9","5850"
"KSH","2009-02-18","11.5","11.8","11.4","11.4","5570"
"KSH","2009-02-19","11.4","11.9","11.1","11.1","14520"
"KSH","2009-02-20","11.3","11.6","11.1","11.1","6700"
"KSH","2009-02-23","11.5","11.5","11.2","11.2","1010"
"KSH","2009-02-24","11.5","11.5","10.7","11.5","2510"
"KSH","2009-02-25","11.5","11.8","11.5","11.8","6250"
"KSH","2009-02-26","11.5","11.5","11.5","11.5","10"
"KSH","2009-02-27","12","12","12","12","200"
"KSH","2009-03-02","12.3","12.3","12.3","12.3","650"
"KSH","2009-03-03","11.7","11.8","11.7","11.7","1570"
"KSH","2009-03-04","11.7","12.2","11.5","11.8","14890"
"KSH","2009-03-05","12.3","12.3","12.3","12.3","150"
"KSH","2009-03-06","12.9","12.9","12.9","12.9","5000"
"KSH","2009-03-09","13.5","13.5","13.5","13.5","6400"
"KSH","2009-03-10","14.1","14.1","14.1","14.1","4420"
"KSH","2009-03-11","14.8","14.8","14.3","14.8","89020"
"KSH","2009-03-12","14.2","15.4","14.1","14.1","24710"
"KSH","2009-03-13","14.7","14.7","13.5","14.7","13110"
"KSH","2009-03-16","14.2","15","14.2","14.2","8510"
"KSH","2009-03-17","14.4","14.5","14.4","14.4","8680"
