"id","name","chamber","url","api_uri"
"SSAF","Committee on Agriculture, Nutrition, and Forestry","Senate","http://www.agriculture.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSAF.json"
"SSAP","Committee on Appropriations","Senate","http://www.appropriations.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSAP.json"
"SSAS","Committee on Armed Services","Senate","http://www.armed-services.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSAS.json"
"SSBK","Committee on Banking, Housing, and Urban Affairs","Senate","http://banking.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSBK.json"
"SSCM","Committee on Commerce, Science, and Transportation","Senate","http://www.commerce.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSCM.json"
"SSEG","Committee on Energy and Natural Resources","Senate","http://www.energy.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSEG.json"
"SSEV","Committee on Environment and Public Works","Senate","http://www.epw.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSEV.json"
"SSFI","Committee on Finance","Senate","http://www.finance.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSFI.json"
"SSFR","Committee on Foreign Relations","Senate","http://www.foreign.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSFR.json"
"SSHR","Committee on Health, Education, Labor, and Pensions","Senate","http://www.help.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSHR.json"
"SSGA","Committee on Homeland Security and Governmental Affairs","Senate","http://www.hsgac.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSGA.json"
"SLIA","Committee on Indian Affairs","Senate","http://www.indian.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SLIA.json"
"SSRA","Committee on Rules and Administration","Senate","http://www.rules.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSRA.json"
"SSSB","Committee on Small Business and Entrepreneurship","Senate","http://www.sbc.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSSB.json"
"SSBU","Committee on the Budget","Senate","http://www.budget.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSBU.json"
"SSJU","Committee on the Judiciary","Senate","http://www.judiciary.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSJU.json"
"SSVA","Committee on Veterans' Affairs","Senate","http://www.veterans.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SSVA.json"
"SLET","Select Committee on Ethics","Senate","http://www.ethics.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SLET.json"
"SLIN","Select Committee on Intelligence","Senate","http://www.intelligence.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SLIN.json"
"SPAG","Special Committee on Aging","Senate","http://www.aging.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SPAG.json"
"SCNC","United States Caucus on International Narcotics Control","Senate","http://www.drugcaucus.senate.gov/","https://api.propublica.org/congress/v1/117/senate/committees/SCNC.json"
