symbol,market
"SZC","HOSE"
"SZE","UPCOM"
"SZG","UPCOM"
"SZL","HOSE"
"TA3","UPCOM"
"TA6","UPCOM"
"TA9","HNX"
"TAN","UPCOM"
"TAR","HNX"
"TAW","UPCOM"
"TB8","UPCOM"
"TBC","HOSE"
"TBD","UPCOM"
"TBH","UPCOM"
"TBR","UPCOM"
"TBT","UPCOM"
"TBX","HNX"
"TC6","HNX"
"TCB","HOSE"
"TCD","HOSE"
"TCH","HOSE"
"TCI","UPCOM"
"TCJ","UPCOM"
"TCK","UPCOM"
"TCL","HOSE"
"TCM","HOSE"
"TCO","HOSE"
"TCR","HOSE"
"TCT","HOSE"
"TCW","UPCOM"
"TDB","UPCOM"
"TDC","HOSE"
"TDF","UPCOM"
"TDG","HOSE"
"TDH","HOSE"
"TDI","UPCOM"
"TDM","HOSE"
"TDN","HNX"
"TDP","HOSE"
"TDS","UPCOM"
"TDT","HNX"
"TDW","HOSE"
"TED","UPCOM"
"TEG","HOSE"
"TEL","UPCOM"
"TET","HNX"
"TFC","HNX"
"TGG","HOSE"
"TGP","UPCOM"
"TH1","UPCOM"
"THB","HNX"
"THD","HNX"
"THG","HOSE"
"THI","HOSE"
"THN","UPCOM"
"THP","UPCOM"
"THS","HNX"
"THT","HNX"
"THU","UPCOM"
"THW","UPCOM"
"TID","UPCOM"
"TIE","UPCOM"
"TIG","HNX"
"TIN","UPCOM"
"TIP","HOSE"
"TIS","UPCOM"
"TIX","HOSE"
"TJC","HNX"
"TKA","UPCOM"
"TKC","HNX"
"TKG","HNX"
"TKU","HNX"
"TL4","UPCOM"
"TLD","HOSE"
"TLG","HOSE"
"TLH","HOSE"
"TLI","UPCOM"
"TLP","UPCOM"
"TLT","UPCOM"
"TMB","HNX"
"TMC","HNX"
"TMG","UPCOM"
"TMP","HOSE"
"TMS","HOSE"
"TMT","HOSE"
"TMW","UPCOM"
"TMX","HNX"
"TN1","HOSE"
"TNA","HOSE"
"TNB","UPCOM"
"TNC","HOSE"
"TNG","HNX"
"TNH","HOSE"
"TNI","HOSE"
"TNM","UPCOM"
"TNP","UPCOM"
"TNS","UPCOM"
"TNT","HOSE"
"TNW","UPCOM"
"TOP","UPCOM"
"TOS","UPCOM"
"TOT","HNX"
"TOW","UPCOM"
"TPB","HOSE"
"TPC","HOSE"
"TPH","HNX"
"TPP","HNX"
"TPS","UPCOM"
"TQN","UPCOM"
"TQW","UPCOM"
"TR1","UPCOM"
"TRA","HOSE"
"TRC","HOSE"
"TRS","UPCOM"
"TRT","UPCOM"
"TS3","UPCOM"
"TS4","UPCOM"
"TSB","HNX"
"TSC","HOSE"
"TSD","UPCOM"
"TSG","UPCOM"
"TSJ","UPCOM"
"TST","UPCOM"
"TTA","HOSE"
"TTB","HOSE"
"TTC","HNX"
"TTD","UPCOM"
"TTE","HOSE"
"TTF","HOSE"
"TTG","UPCOM"
"TTH","HNX"
"TTL","HNX"
"TTN","UPCOM"
"TTP","UPCOM"
"TTS","UPCOM"
"TTT","HNX"
"TTZ","HNX"
"TUG","UPCOM"
"TV1","UPCOM"
"TV2","HOSE"
"TV3","HNX"
"TV4","HNX"
"TV6","UPCOM"
"TVA","UPCOM"
"TVB","HOSE"
"TVC","HNX"
"TVD","HNX"
"TVG","UPCOM"
"TVH","UPCOM"
"TVM","UPCOM"
"TVN","UPCOM"
"TVP","UPCOM"
"TVS","HOSE"
"TVT","HOSE"
"TVW","UPCOM"
"TW3","UPCOM"
"TXM","HNX"
"TYA","HOSE"
"UCT","UPCOM"
"UDC","HOSE"
"UDJ","UPCOM"
"UDL","UPCOM"
"UEM","UPCOM"
"UIC","HOSE"
"UMC","UPCOM"
"UNI","HNX"
"UPC","UPCOM"
"UPH","UPCOM"
"USC","UPCOM"
"USD","UPCOM"
"V11","UPCOM"
"V12","HNX"
"V15","UPCOM"
"V21","HNX"
"VAB","UPCOM"
"VAF","HOSE"
"VAT","UPCOM"
"VAV","UPCOM"
"VBB","UPCOM"
"VBC","HNX"
"VBG","UPCOM"
"VBH","UPCOM"
"VC1","HNX"
"VC2","HNX"
"VC3","HNX"
"VC5","UPCOM"
"VC6","HNX"
"VC7","HNX"
"VC9","HNX"
"VCA","HOSE"
"VCB","HOSE"
"VCC","HNX"
"VCE","UPCOM"
"VCF","HOSE"
"VCG","HOSE"
"VCI","HOSE"
"VCM","HNX"
"VCP","UPCOM"
"VCR","UPCOM"
"VCS","HNX"
"VCT","UPCOM"
"VCW","UPCOM"
"VCX","UPCOM"
"VDB","UPCOM"
"VDL","HNX"
"VDN","UPCOM"
"VDP","HOSE"
"VDS","HOSE"
"VDT","UPCOM"
"VE1","HNX"
"VE2","HNX"
"VE3","HNX"
"VE4","HNX"
"VE8","HNX"
"VE9","UPCOM"
"VEA","UPCOM"
"VEC","UPCOM"
"VEF","UPCOM"
"VES","UPCOM"
"VET","UPCOM"
"VFC","UPCOM"
"VFG","HOSE"
"VFR","UPCOM"
"VFS","UPCOM"
"VGC","HOSE"
"VGG","UPCOM"
"VGI","UPCOM"
"VGL","UPCOM"
"VGP","HNX"
"VGR","UPCOM"
"VGS","HNX"
"VGT","UPCOM"
"VGV","UPCOM"
"VHC","HOSE"
"VHD","UPCOM"
"VHE","HNX"
"VHF","UPCOM"
"VHG","UPCOM"
"VHH","UPCOM"
"VHL","HNX"
"VHM","HOSE"
"VIB","HOSE"
"VIC","HOSE"
"VID","HOSE"
"VIE","UPCOM"
"VIF","HNX"
"VIG","HNX"
"VIH","UPCOM"
"VIM","UPCOM"
"VIN","UPCOM"
"VIP","HOSE"
"VIR","UPCOM"
"VIT","HNX"
"VIW","UPCOM"
"VIX","HOSE"
"VJC","HOSE"
"VKC","HNX"
"VKP","UPCOM"
"VLA","HNX"
"VLB","UPCOM"
"VLC","UPCOM"
"VLF","UPCOM"
"VLG","UPCOM"
"VLP","UPCOM"
"VLW","UPCOM"
"VMA","UPCOM"
"VMC","HNX"
"VMD","HOSE"
"VMG","UPCOM"
"VMS","HNX"
"VMT","UPCOM"
"VNA","UPCOM"
"VNB","UPCOM"
"VNC","HNX"
"VND","HOSE"
"VNE","HOSE"
"VNF","HNX"
"VNG","HOSE"
"VNH","UPCOM"
"VNI","UPCOM"
"VNL","HOSE"
"VNM","HOSE"
"VNP","UPCOM"
"VNR","HNX"
"VNS","HOSE"
"VNT","HNX"
"VNX","UPCOM"
"VNY","UPCOM"
"VNZ","UPCOM"
"VOC","UPCOM"
"VOS","HOSE"
"VPA","UPCOM"
"VPB","HOSE"
"VPC","UPCOM"
"VPD","HOSE"
"VPG","HOSE"
"VPH","HOSE"
"VPI","HOSE"
"VPR","UPCOM"
"VPS","HOSE"
"VPW","UPCOM"
"VQC","UPCOM"
"VRC","HOSE"
"VRE","HOSE"
"VRG","UPCOM"
"VSA","HNX"
"VSC","HOSE"
"VSE","UPCOM"
"VSF","UPCOM"
"VSG","UPCOM"
"VSH","HOSE"
"VSI","HOSE"
"VSM","HNX"
"VSN","UPCOM"
"VST","UPCOM"
"VTA","UPCOM"
"VTB","HOSE"
"VTC","HNX"
"VTD","UPCOM"
"VTE","UPCOM"
"VTG","UPCOM"
"VTH","HNX"
"VTI","UPCOM"
"VTJ","HNX"
"VTK","UPCOM"
"VTL","HNX"
"VTM","UPCOM"
"VTO","HOSE"
"VTP","UPCOM"
"VTQ","UPCOM"
"VTR","UPCOM"
"VTS","UPCOM"
"VTV","HNX"
"VTX","UPCOM"
"VTZ","HNX"
"VUA","UPCOM"
"VVN","UPCOM"
"VVS","UPCOM"
"VW3","UPCOM"
"VWS","UPCOM"
"VXB","UPCOM"
"VXP","UPCOM"
"VXT","UPCOM"
"WCS","HNX"
"WSB","UPCOM"
"WSS","HNX"
"WTC","UPCOM"
"X20","HNX"
"X26","UPCOM"
"X77","UPCOM"
"XDC","UPCOM"
"XDH","UPCOM"
"XHC","UPCOM"
"XLV","UPCOM"
"XMC","UPCOM"
"XMD","UPCOM"
"XMP","UPCOM"
"XPH","UPCOM"
"YBC","UPCOM"
"YBM","HOSE"
"YEG","HOSE"
"YTC","UPCOM"
