symbol,market
"C32","HOSE"
"C47","HOSE"
"C4G","UPCOM"
"C69","HNX"
"C92","UPCOM"
"CAB","UPCOM"
"CAD","UPCOM"
"CAG","HNX"
"CAN","HNX"
"CAP","HNX"
"CAR","UPCOM"
"CAT","UPCOM"
"CAV","HOSE"
"CBI","UPCOM"
"CBS","UPCOM"
"CC1","UPCOM"
"CC4","UPCOM"
"CCA","UPCOM"
"CCI","HOSE"
"CCL","HOSE"
"CCM","UPCOM"
"CCP","UPCOM"
"CCR","HNX"
"CCT","UPCOM"
"CCV","UPCOM"
"CDC","HOSE"
"CDG","UPCOM"
"CDH","UPCOM"
"CDN","HNX"
"CDO","UPCOM"
"CDP","UPCOM"
"CDR","UPCOM"
"CE1","UPCOM"
"CEG","UPCOM"
"CEN","UPCOM"
"CEO","HNX"
"CET","HNX"
"CFM","UPCOM"
"CFV","UPCOM"
"CGV","UPCOM"
"CH5","UPCOM"
"CHC","UPCOM"
"CHP","HOSE"
"CHS","UPCOM"
"CI5","UPCOM"
"CIA","HNX"
"CID","UPCOM"
"CIG","HOSE"
"CII","HOSE"
"CIP","UPCOM"
"CJC","HNX"
"CK8","UPCOM"
"CKA","UPCOM"
"CKD","UPCOM"
"CKG","HOSE"
"CKV","HNX"
"CLC","HOSE"
"CLG","UPCOM"
"CLH","HNX"
"CLL","HOSE"
"CLM","HNX"
"CLW","HOSE"
"CLX","UPCOM"
"CMC","HNX"
"CMD","UPCOM"
"CMF","UPCOM"
"CMG","HOSE"
"CMI","UPCOM"
"CMK","UPCOM"
"CMM","UPCOM"
"CMN","UPCOM"
"CMP","UPCOM"
"CMS","HNX"
"CMT","UPCOM"
"CMV","HOSE"
"CMW","UPCOM"
"CMX","HOSE"
"CNA","UPCOM"
"CNC","UPCOM"
"CNG","HOSE"
"CNN","UPCOM"
"CNT","UPCOM"
"COM","HOSE"
"CPA","UPCOM"
"CPC","HNX"
"CPH","UPCOM"
"CPI","UPCOM"
"CQN","UPCOM"
"CQT","UPCOM"
"CRC","HOSE"
"CRE","HOSE"
"CSC","HNX"
"CSI","UPCOM"
"CSM","HOSE"
"CST","UPCOM"
"CSV","HOSE"
"CT3","UPCOM"
"CT6","UPCOM"
"CTA","UPCOM"
"CTB","HNX"
"CTC","HNX"
"CTD","HOSE"
"CTF","HOSE"
"CTG","HOSE"
"CTI","HOSE"
"CTN","UPCOM"
"CTP","HNX"
"CTR","HOSE"
"CTS","HOSE"
"CTT","HNX"
"CTW","UPCOM"
"CTX","HNX"
"CVN","HNX"
"CVP","UPCOM"
"CVT","HOSE"
"CX8","HNX"
"CYC","UPCOM"
"D11","HNX"
"D2D","HOSE"
"DAC","UPCOM"
"DAD","HNX"
"DAE","HNX"
"DAG","HOSE"
"DAH","HOSE"
"DAN","UPCOM"
"DAS","UPCOM"
"DAT","HOSE"
"DBC","HOSE"
"DBD","HOSE"
"DBM","UPCOM"
"DBT","HOSE"
"DC1","UPCOM"
"DC2","HNX"
"DC4","HOSE"
"DCF","UPCOM"
"DCG","UPCOM"
"DCH","UPCOM"
"DCL","HOSE"
"DCM","HOSE"
"DCR","UPCOM"
"DCS","UPCOM"
"DCT","UPCOM"
"DDG","HNX"
"DDH","UPCOM"
"DDM","UPCOM"
"DDN","UPCOM"
"DDV","UPCOM"
"DFC","UPCOM"
"DFF","UPCOM"
"DGC","HOSE"
"DGT","UPCOM"
"DGW","HOSE"
"DHA","HOSE"
"DHB","UPCOM"
"DHC","HOSE"
"DHD","UPCOM"
"DHG","HOSE"
"DHM","HOSE"
"DHN","UPCOM"
"DHP","HNX"
"DHT","HNX"
"DIC","UPCOM"
"DID","UPCOM"
"DIG","HOSE"
"DIH","HNX"
"DKC","UPCOM"
"DL1","HNX"
"DLD","UPCOM"
"DLG","HOSE"
"DLM","UPCOM"
"DLR","UPCOM"
"DLT","UPCOM"
"DM7","UPCOM"
"DMC","HOSE"
"DMN","UPCOM"
"DNA","UPCOM"
"DNC","HNX"
"DND","UPCOM"
"DNE","UPCOM"
"DNH","UPCOM"
"DNL","UPCOM"
"DNM","HNX"
"DNN","UPCOM"
"DNP","HNX"
"DNT","UPCOM"
"DNW","UPCOM"
"DOC","UPCOM"
"DOP","UPCOM"
"DP1","UPCOM"
"DP2","UPCOM"
"DP3","HNX"
"DPC","HNX"
"DPD","UPCOM"
"DPG","HOSE"
"DPH","UPCOM"
"DPM","HOSE"
"DPP","UPCOM"
"DPR","HOSE"
"DPS","UPCOM"
"DQC","HOSE"
"DRC","HOSE"
"DRG","UPCOM"
"DRH","HOSE"
"DRI","UPCOM"
"DRL","HOSE"
"DS3","HNX"
"DSC","UPCOM"
"DSD","UPCOM"
"DSG","UPCOM"
"DSN","HOSE"
"DSP","UPCOM"
"DST","HNX"
"DSV","UPCOM"
"DTA","HOSE"
"DTB","UPCOM"
"DTC","HNX"
"DTD","HNX"
"DTE","UPCOM"
"DTG","UPCOM"
"DTH","UPCOM"
"DTI","UPCOM"
"DTK","HNX"
"DTL","HOSE"
"DTP","UPCOM"
"DTT","HOSE"
"DTV","UPCOM"
"DUS","UPCOM"
"DVC","UPCOM"
"DVG","HNX"
"DVM","HNX"
"DVN","UPCOM"
"DVP","HOSE"
"DVW","UPCOM"
"DWC","UPCOM"
"DWS","UPCOM"
"DXG","HOSE"
"DXL","UPCOM"
"DXP","HNX"
"DXS","HOSE"
"DXV","HOSE"
"DZM","HNX"
"E12","UPCOM"
"E29","UPCOM"
"EBS","HNX"
"ECI","HNX"
"EFI","UPCOM"
"EIB","HOSE"
"EIC","UPCOM"
"EID","HNX"
"EIN","UPCOM"
"ELC","HOSE"
"EMC","HOSE"
"EME","UPCOM"
"EMG","UPCOM"
"EMS","UPCOM"
"EPC","UPCOM"
"EPH","UPCOM"
"EVE","HOSE"
"EVF","HOSE"
"EVG","HOSE"
"EVS","HNX"
"FBA","UPCOM"
"FBC","UPCOM"
"FCC","UPCOM"
"FCM","HOSE"
"FCN","HOSE"
"FCS","UPCOM"
"FDC","HOSE"
"FGL","UPCOM"
"FHN","UPCOM"
"FHS","UPCOM"
"FIC","UPCOM"
"FID","HNX"
"FIR","HOSE"
"FIT","HOSE"
"FLC","HOSE"
"FMC","HOSE"
"FOC","UPCOM"
"FOX","UPCOM"
"FPT","HOSE"
"FRC","UPCOM"
"FRM","UPCOM"
"FRT","HOSE"
"FSO","UPCOM"
"FT1","UPCOM"
"FTI","UPCOM"
"FTM","UPCOM"
"FTS","HOSE"
"G20","UPCOM"
"G36","UPCOM"
"GAB","HOSE"
"GAS","HOSE"
"GCB","UPCOM"
"GCF","UPCOM"
"GDT","HOSE"
"GDW","HNX"
"GEE","UPCOM"
"GEG","HOSE"
"GER","UPCOM"
"GEX","HOSE"
"GGG","UPCOM"
"GH3","UPCOM"
"GHC","UPCOM"
"GIC","HNX"
"GIL","HOSE"
"GKM","HNX"
"GLC","UPCOM"
"GLT","HNX"
"GLW","UPCOM"
"GMA","HNX"
"GMC","HOSE"
"GMD","HOSE"
"GMH","HOSE"
"GMX","HNX"
"GND","UPCOM"
"GPC","UPCOM"
"GSM","UPCOM"
"GSP","HOSE"
"GTA","HOSE"
"GTD","UPCOM"
"GTH","UPCOM"
"GTS","UPCOM"
"GTT","UPCOM"
"GVR","HOSE"
"GVT","UPCOM"
"H11","UPCOM"
"HAC","UPCOM"
"HAD","HNX"
"HAF","UPCOM"
"HAG","HOSE"
"HAH","HOSE"
"HAI","HOSE"
"HAM","UPCOM"
"HAN","UPCOM"
"HAP","HOSE"
"HAR","HOSE"
"HAS","HOSE"
"HAT","HNX"
"HAV","UPCOM"
"HAX","HOSE"
"HBC","HOSE"
"HBD","UPCOM"
"HBH","UPCOM"
"HBS","HNX"
"HC1","UPCOM"
"HC3","UPCOM"
"HCB","UPCOM"
"HCC","HNX"
"HCD","HOSE"
"HCI","UPCOM"
"HCM","HOSE"
"HCT","HNX"
"HD2","UPCOM"
"HD6","UPCOM"
"HD8","UPCOM"
"HDA","HNX"
"HDB","HOSE"
"HDC","HOSE"
"HDG","HOSE"
"HDM","UPCOM"
"HDO","UPCOM"
"HDP","UPCOM"
"HDW","UPCOM"
"HEC","UPCOM"
"HEJ","UPCOM"
"HEM","UPCOM"
"HEP","UPCOM"
"HES","UPCOM"
"HEV","HNX"
"HFB","UPCOM"
"HFC","UPCOM"
"HFX","UPCOM"
"HGM","HNX"
"HGT","UPCOM"
"HGW","UPCOM"
"HHC","HNX"
"HHG","HNX"
"HHN","UPCOM"
"HHP","HOSE"
"HHR","UPCOM"
"HHS","HOSE"
"HHV","HOSE"
"HID","HOSE"
"HIG","UPCOM"
"HII","HOSE"
"HJC","UPCOM"
"HJS","HNX"
"HKB","UPCOM"
"HKP","UPCOM"
"HKT","HNX"
"HLA","UPCOM"
"HLB","UPCOM"
"HLC","HNX"
"HLD","HNX"
"HLG","UPCOM"
"HLR","UPCOM"
"HLS","UPCOM"
"HLT","UPCOM"
"HLY","UPCOM"
"HMC","HOSE"
"HMG","UPCOM"
"HMH","HNX"
"HMR","HNX"
"HMS","UPCOM"
"HNA","UPCOM"
"HNB","UPCOM"
"HND","UPCOM"
"HNF","UPCOM"
"HNG","HOSE"
"HNI","UPCOM"
"HNM","UPCOM"
"HNP","UPCOM"
"HNR","UPCOM"
"HOM","HNX"
"HOT","HOSE"
"HPB","UPCOM"
"HPD","UPCOM"
"HPG","HOSE"
"HPH","UPCOM"
"HPI","UPCOM"
"HPM","UPCOM"
"HPP","UPCOM"
"HPT","UPCOM"
"HPW","UPCOM"
"HPX","HOSE"
"HQC","HOSE"
"HRB","UPCOM"
"HRC","HOSE"
"HRT","UPCOM"
"HSA","UPCOM"
"HSG","HOSE"
"HSI","UPCOM"
"HSL","HOSE"
"HSM","UPCOM"
"HSP","UPCOM"
"HSV","UPCOM"
"HT1","HOSE"
"HTC","HNX"
"HTE","UPCOM"
"HTG","UPCOM"
"HTI","HOSE"
"HTL","HOSE"
"HTM","UPCOM"
"HTN","HOSE"
"HTP","HNX"
"HTR","UPCOM"
"HTT","UPCOM"
"HTV","HOSE"
