symbol,name,industry,supersector,sector,subsector,listingDate,issueShare,listedValue,marketCap
"ALV","ALVICO Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","17/09/2010 00:00:00","5657936.0","19236982400.00","19661327600.0"
"AMC","Asia Mineral Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","15/02/2012 00:00:00","2850000.0","0","64125000000.0"
"AMD","FLC Stone Mining and Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","11/08/2014 00:00:00","163504874.0","194570800060.00","194570800060.0"
"AME","Alphanam E&C Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","02/06/2010 00:00:00","65200000.0","697640000000.00","697640000000.0"
"AMP","Armephaco Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","12/01/2017 00:00:00","13000000.0","0","141700000000.0"
"AMS","AMECC Mechanical Construction Joint Stock Company ","Industrials","Industrial Goods & Services","Support Services","Industrial Suppliers","06/02/2017 00:00:00","36629865.0","285712947000.00","287325558810.0"
"AMV","American Vietnamese Biotech Incorporation","Health Care","Health Care","Health Care Equipment & Services","Medical Equipment","20/12/2009 00:00:00","131105650.0","471980340000.00","471980340000.0"
"ANT","An Giang Fruit-Vegetables &amp; Foodstuff Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","22/12/2016 00:00:00","8000000.0","92800000000.00","91664000000.0"
"ANV","Nam Viet Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","07/12/2007 00:00:00","127539625.0","4183299700000.00","4169794300000.0"
"APC","An Phu Irradiation Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Biotechnology","05/02/2010 00:00:00","20121395.0","269626693000.00","266727335000.0"
"APF","Quang Ngai Agricultural Products And Foodstuff Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","08/06/2017 00:00:00","22553997.0","1635164782500.00","1612069489572.0"
"APG","APG Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","30/11/2016 00:00:00","146306612.0","921731655600.00","921731655600.0"
"APH","An Phat Holdings Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","28/07/2020 00:00:00","243884268.0","1724261774760.00","1724261774760.0"
"API","Asia - Pacific Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","13/09/2010 00:00:00","84083976.0","748347386400.00","748347386400.0"
"APL","VVMI - Mechanical And Pressure Equipment Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","14/10/2016 00:00:00","1200000.0","0","29760000000.0"
"APP","Additives and Petroleum Products Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","05/10/2010 00:00:00","4724632.0","24568086400.00","23968058136.0"
"APS","Asia - Pacific Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","19/04/2010 00:00:00","83000000.0","771900000000.00","771900000000.0"
"APT","Saigon Aquatic Products Trading Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","07/06/2019 00:00:00","8800000.0","20240000000.00","20653600000.0"
"ARM","General Aviation Import Export Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Industrial Suppliers","26/10/2010 00:00:00","3111283.0","0","140007735000.0"
"ART","BOS Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","02/08/2017 00:00:00","96922509.0","0","125999261700.0"
"ASA","ASA Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","12/03/2012 00:00:00","10000000.0","0","126000000000.0"
"ASG","ASG Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","24/09/2020 00:00:00","75653891.0","0","1879999191350.0"
"ASM","Sao Mai Group Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","18/01/2010 00:00:00","336526752.0","2907591137280.00","2907591137280.0"
"ASP","An Pha Petrol Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","15/02/2008 00:00:00","37339929.0","212090796720.00","212088598560.0"
